,ds,y,yhat,yhat_lower,yhat_upper
0,2022-01-04,1729615.0,,,
1,2022-01-05,1657805.0,,,
2,2022-01-06,1367322.0,,,
3,2022-01-07,3325430.0,,,
4,2022-01-10,845255.0,,,
5,2022-01-11,1159533.0,,,
6,2022-01-12,723533.0,,,
7,2022-01-13,1033014.0,,,
8,2022-01-14,3722732.0,,,
9,2022-01-17,852395.0,,,
10,2022-01-18,1154576.0,,,
11,2022-01-19,1095274.0,,,
12,2022-01-20,1176354.0,,,
13,2022-01-21,2230041.0,,,
14,2022-01-24,1156632.0,,,
15,2022-01-25,1275992.0,,,
16,2022-01-26,887199.0,,,
17,2022-01-27,2304112.0,,,
18,2022-01-28,1977810.0,,,
19,2022-01-31,10142514.0,,,
20,2022-02-01,1778183.0,,,
21,2022-02-02,1240818.0,,,
22,2022-02-03,1118848.0,,,
23,2022-02-04,2597707.0,,,
24,2022-02-07,1460219.0,,,
25,2022-02-08,1032617.0,,,
26,2022-02-09,1583953.0,,,
27,2022-02-10,1002923.0,,,
28,2022-02-11,1816139.0,,,
29,2022-02-14,2200021.0,,,
30,2022-02-15,1285535.0,,,
31,2022-02-16,889033.0,,,
32,2022-02-17,934000.0,,,
33,2022-02-18,2251950.0,,,
34,2022-02-21,1181349.0,,,
35,2022-02-22,1133386.0,,,
36,2022-02-23,870976.0,,,
37,2022-02-24,1277023.0,,,
38,2022-02-25,4012704.0,,,
39,2022-02-28,9972989.0,,,
40,2022-03-01,2004385.0,,,
41,2022-03-02,1335473.0,,,
42,2022-03-03,1234240.0,,,
43,2022-03-04,2782061.0,,,
44,2022-03-07,1500278.0,,,
45,2022-03-08,1132419.0,,,
46,2022-03-09,1727679.0,,,
47,2022-03-10,879712.0,,,
48,2022-03-11,1988736.0,,,
49,2022-03-14,2179265.0,,,
50,2022-03-15,1359345.0,,,
51,2022-03-16,853545.0,,,
52,2022-03-17,952379.0,,,
53,2022-03-18,2284811.0,,,
54,2022-03-21,1229960.0,,,
55,2022-03-22,1254237.0,,,
56,2022-03-23,860967.0,,,
57,2022-03-24,1287895.0,,,
58,2022-03-25,3237708.0,,,
59,2022-03-28,706645.0,,,
60,2022-03-29,1022187.0,,,
61,2022-03-30,1099201.0,,,
62,2022-03-31,11231426.0,,,
63,2022-04-01,2866218.0,,,
64,2022-04-04,1538580.0,,,
65,2022-04-05,1256250.0,,,
66,2022-04-06,1029015.0,,,
67,2022-04-07,1685685.0,,,
68,2022-04-08,2687291.0,,,
69,2022-04-11,836096.0,,,
70,2022-04-12,977893.0,,,
71,2022-04-13,951213.0,,,
72,2022-04-14,4451169.0,,,
73,2022-04-19,1460062.0,,,
74,2022-04-20,1818823.0,,,
75,2022-04-21,1354672.0,,,
76,2022-04-22,2220144.0,,,
77,2022-04-25,1079043.0,,,
78,2022-04-26,1272722.0,,,
79,2022-04-27,2187984.0,,,
80,2022-04-28,1066175.0,,,
81,2022-04-29,13158337.0,,,
82,2022-05-03,1491948.0,,,
83,2022-05-04,2244613.0,,,
84,2022-05-05,1165477.0,,,
85,2022-05-06,2776845.0,,,
86,2022-05-09,1750083.0,,,
87,2022-05-10,1098996.0,,,
88,2022-05-11,934915.0,,,
89,2022-05-12,856009.0,,,
90,2022-05-13,3733186.0,,,
91,2022-05-16,956476.0,,,
92,2022-05-17,1121649.0,,,
93,2022-05-18,853615.0,,,
94,2022-05-19,1241835.0,,,
95,2022-05-20,2530586.0,,,
96,2022-05-23,831592.0,,,
97,2022-05-24,1497724.0,,,
98,2022-05-25,923139.0,,,
99,2022-05-26,1109738.0,,,
100,2022-05-27,2957671.0,,,
101,2022-05-30,1224452.0,,,
102,2022-05-31,11433893.0,,,
103,2022-06-01,4336159.0,,,
104,2022-06-06,1271714.0,,,
105,2022-06-07,2530944.0,,,
106,2022-06-08,787629.0,,,
107,2022-06-09,1873426.0,,,
108,2022-06-10,1814196.0,,,
109,2022-06-13,879773.0,,,
110,2022-06-14,2768603.0,,,
111,2022-06-15,987628.0,,,
112,2022-06-16,1039376.0,,,
113,2022-06-17,2180317.0,,,
114,2022-06-20,1088264.0,,,
115,2022-06-21,1434642.0,,,
116,2022-06-22,806083.0,,,
117,2022-06-23,973162.0,,,
118,2022-06-24,2495680.0,,,
119,2022-06-27,2051103.0,,,
120,2022-06-28,995748.0,,,
121,2022-06-29,1256963.0,,,
122,2022-06-30,11368588.0,,,
123,2022-07-01,3001910.0,,,
124,2022-07-04,1587155.0,,,
125,2022-07-05,1243404.0,,,
126,2022-07-06,1096563.0,,,
127,2022-07-07,1692521.0,,,
128,2022-07-08,2652928.0,,,
129,2022-07-11,836693.0,,,
130,2022-07-12,782221.0,,,
131,2022-07-13,1035008.0,,,
132,2022-07-14,2712374.0,,,
133,2022-07-15,2140737.0,,,
134,2022-07-18,880455.0,,,
135,2022-07-19,1362626.0,,,
136,2022-07-20,1001319.0,,,
137,2022-07-21,1305254.0,,,
138,2022-07-22,2296601.0,,,
139,2022-07-25,989285.0,,,
140,2022-07-26,1180564.0,,,
141,2022-07-27,2127010.0,,,
142,2022-07-28,1136185.0,,,
143,2022-07-29,11863265.0,,,
144,2022-08-01,1477231.0,,,
145,2022-08-02,1654191.0,,,
146,2022-08-03,1030791.0,,,
147,2022-08-04,1557845.0,,,
148,2022-08-05,2848502.0,,,
149,2022-08-08,755041.0,,,
150,2022-08-09,1955715.0,,,
151,2022-08-10,786464.0,,,
152,2022-08-11,970795.0,,,
153,2022-08-12,3422060.0,,,
154,2022-08-15,1037912.0,,,
155,2022-08-16,1127040.0,,,
156,2022-08-17,832657.0,,,
157,2022-08-18,924052.0,,,
158,2022-08-19,2702481.0,,,
159,2022-08-22,859576.0,,,
160,2022-08-23,1111207.0,,,
161,2022-08-24,1132843.0,,,
162,2022-08-25,1183556.0,,,
163,2022-08-26,3394886.0,,,
164,2022-08-30,1216383.0,,,
165,2022-08-31,11677445.0,,,
166,2022-09-01,1669832.0,,,
167,2022-09-02,2910832.0,,,
168,2022-09-05,1080695.0,,,
169,2022-09-06,1309707.0,,,
170,2022-09-07,1522628.0,,,
171,2022-09-08,887178.0,,,
172,2022-09-09,2756779.0,,,
173,2022-09-12,721872.0,,,
174,2022-09-13,1150572.0,,,
175,2022-09-14,2451891.0,,,
176,2022-09-15,1133509.0,,,
177,2022-09-16,2573941.0,,,
178,2022-09-20,1139121.0,,,
179,2022-09-21,1752929.0,,,
180,2022-09-22,915387.0,,,
181,2022-09-23,2425218.0,,,
182,2022-09-26,973031.0,,,
183,2022-09-27,2416038.0,,,
184,2022-09-28,709258.0,,,
185,2022-09-29,1402082.0,,,
186,2022-09-30,13132981.0,,,
187,2022-10-03,1269526.0,,,
188,2022-10-04,1946638.0,,,
189,2022-10-05,933193.0,,,
190,2022-10-06,1238584.0,,,
191,2022-10-07,3418425.0,,,
192,2022-10-10,800612.0,,,
193,2022-10-11,1244392.0,,,
194,2022-10-12,715667.0,,,
195,2022-10-13,1019698.0,,,
196,2022-10-14,3752957.0,,,
197,2022-10-17,858498.0,,,
198,2022-10-18,1180438.0,,,
199,2022-10-19,1077033.0,,,
200,2022-10-20,1209398.0,,,
201,2022-10-21,2223946.0,,,
202,2022-10-24,1203787.0,,,
203,2022-10-25,1228942.0,,,
204,2022-10-26,939827.0,,,
205,2022-10-27,2271271.0,,,
206,2022-10-28,2018857.0,,,
207,2022-10-31,11108818.0,,,
208,2022-11-01,1888794.0,,,
209,2022-11-02,1253625.0,,,
210,2022-11-03,1126294.0,,,
211,2022-11-04,2767435.0,,,
212,2022-11-07,1559096.0,,,
213,2022-11-08,1041792.0,,,
214,2022-11-09,1745431.0,,,
215,2022-11-10,898823.0,,,
216,2022-11-11,1856252.0,,,
217,2022-11-14,2466467.0,,,
218,2022-11-15,1361139.0,,,
219,2022-11-16,915039.0,,,
220,2022-11-17,927117.0,,,
221,2022-11-18,2355725.0,,,
222,2022-11-21,1235251.0,,,
223,2022-11-22,1204816.0,,,
224,2022-11-23,836659.0,,,
225,2022-11-24,1330748.0,,,
226,2022-11-25,3400062.0,,,
227,2022-11-28,768421.0,,,
228,2022-11-29,1659975.0,,,
229,2022-11-30,10921958.0,,,
230,2022-12-01,2019124.0,,,
231,2022-12-02,3030973.0,,,
232,2022-12-05,1030334.0,,,
233,2022-12-06,1415453.0,,,
234,2022-12-07,1538555.0,,,
235,2022-12-08,929377.0,,,
236,2022-12-09,2855845.0,,,
237,2022-12-12,724084.0,,,
238,2022-12-13,1220143.0,,,
239,2022-12-14,2440803.0,,,
240,2022-12-15,1156456.0,,,
241,2022-12-16,1981868.0,,,
242,2022-12-19,1128644.0,,,
243,2022-12-20,1390134.0,,,
244,2022-12-21,1122320.0,,,
245,2022-12-22,977339.0,,,
246,2022-12-23,4416551.0,,,
247,2022-12-28,949289.0,,,
248,2022-12-29,1855649.0,,,
249,2022-12-30,13094437.0,,,
250,2023-01-03,1382160.0,,,
251,2023-01-04,2111635.0,,,
252,2023-01-05,1316667.0,,,
253,2023-01-06,2686247.0,,,
254,2023-01-09,1778172.0,,,
255,2023-01-10,1093668.0,,,
256,2023-01-11,873284.0,,,
257,2023-01-12,829573.0,,,
258,2023-01-13,3684721.0,,,
259,2023-01-16,939059.0,,,
260,2023-01-17,1110326.0,,,
261,2023-01-18,832797.0,,,
262,2023-01-19,1271169.0,,,
263,2023-01-20,2389503.0,,,
264,2023-01-23,829732.0,,,
265,2023-01-24,1494288.0,,,
266,2023-01-25,882297.0,,,
267,2023-01-26,1095732.0,,,
268,2023-01-27,2962053.0,,,
269,2023-01-30,1152268.0,,,
270,2023-01-31,10707459.0,,,
271,2023-02-01,1417887.0,,,
272,2023-02-02,1331463.0,,,
273,2023-02-03,2579631.0,,,
274,2023-02-06,1058597.0,,,
275,2023-02-07,1719245.0,,,
276,2023-02-08,744090.0,,,
277,2023-02-09,1812611.0,,,
278,2023-02-10,1749074.0,,,
279,2023-02-13,878607.0,,,
280,2023-02-14,2440907.0,,,
281,2023-02-15,990581.0,,,
282,2023-02-16,996487.0,,,
283,2023-02-17,2091161.0,,,
284,2023-02-20,1039777.0,,,
285,2023-02-21,1408228.0,,,
286,2023-02-22,804688.0,,,
287,2023-02-23,932235.0,,,
288,2023-02-24,2388919.0,,,
289,2023-02-27,2797878.0,,,
290,2023-02-28,10810843.0,,,
291,2023-03-01,1463280.0,,,
292,2023-03-02,1322291.0,,,
293,2023-03-03,2807594.0,,,
294,2023-03-06,1163289.0,,,
295,2023-03-07,1862424.0,,,
296,2023-03-08,894764.0,,,
297,2023-03-09,1770426.0,,,
298,2023-03-10,1848678.0,,,
299,2023-03-13,938636.0,,,
300,2023-03-14,2515247.0,,,
301,2023-03-15,1050664.0,,,
302,2023-03-16,969289.0,,,
303,2023-03-17,2159051.0,,,
304,2023-03-20,1007356.0,,,
305,2023-03-21,1458164.0,,,
306,2023-03-22,948852.0,,,
307,2023-03-23,921890.0,,,
308,2023-03-24,2433185.0,,,
309,2023-03-27,1980371.0,,,
310,2023-03-28,996749.0,,,
311,2023-03-29,713592.0,,,
312,2023-03-30,1210562.0,,,
313,2023-03-31,13125871.0,,,
314,2023-04-03,1106608.0,,,
315,2023-04-04,1836224.0,,,
316,2023-04-05,1078365.0,,,
317,2023-04-06,3892635.0,,,
318,2023-04-11,1582656.0,,,
319,2023-04-12,1393125.0,,,
320,2023-04-13,1030736.0,,,
321,2023-04-14,3728241.0,,,
322,2023-04-17,931351.0,,,
323,2023-04-18,1233195.0,,,
324,2023-04-19,1116579.0,,,
325,2023-04-20,1162595.0,,,
326,2023-04-21,2212431.0,,,
327,2023-04-24,1246408.0,,,
328,2023-04-25,1310307.0,,,
329,2023-04-26,917267.0,,,
330,2023-04-27,2639412.0,,,
331,2023-04-28,11826683.0,,,
332,2023-05-02,2646851.0,,,
333,2023-05-03,1923507.0,,,
334,2023-05-04,1598163.0,,,
335,2023-05-05,3314493.0,,,
336,2023-05-09,1774245.0,,,
337,2023-05-10,1386712.0,,,
338,2023-05-11,1023572.0,,,
339,2023-05-12,3444518.0,,,
340,2023-05-15,1091394.0,,,
341,2023-05-16,1271989.0,,,
342,2023-05-17,838170.0,,,
343,2023-05-18,890841.0,,,
344,2023-05-19,2698558.0,,,
345,2023-05-22,977497.0,,,
346,2023-05-23,1124235.0,,,
347,2023-05-24,1175922.0,,,
348,2023-05-25,1118034.0,,,
349,2023-05-26,3396544.0,,,
350,2023-05-30,1309817.0,,,
351,2023-05-31,11773261.0,,,
352,2023-06-01,1621170.0,,,
353,2023-06-02,3072724.0,,,
354,2023-06-05,1061720.0,,,
355,2023-06-06,1350860.0,,,
356,2023-06-07,1486858.0,,,
357,2023-06-08,884874.0,,,
358,2023-06-09,2755825.0,,,
359,2023-06-12,719696.0,,,
360,2023-06-13,1162856.0,,,
361,2023-06-14,2437664.0,,,
362,2023-06-15,1135416.0,,,
363,2023-06-16,1975309.0,,,
364,2023-06-19,1171174.0,,,
365,2023-06-20,1286097.0,,,
366,2023-06-21,1091885.0,,,
367,2023-06-22,858406.0,,,
368,2023-06-23,2563324.0,,,
369,2023-06-26,900159.0,,,
370,2023-06-27,2411707.0,,,
371,2023-06-28,666317.0,,,
372,2023-06-29,1421039.0,,,
373,2023-06-30,13242785.0,,,
374,2023-07-03,1228744.0,,,
375,2023-07-04,1920203.0,,,
376,2023-07-05,905540.0,,,
377,2023-07-06,1262766.0,,,
378,2023-07-07,3391183.0,,,
379,2023-07-10,748933.0,,,
380,2023-07-11,1233673.0,,,
381,2023-07-12,679571.0,,,
382,2023-07-13,1002074.0,,,
383,2023-07-14,3794935.0,,,
384,2023-07-17,826591.0,,,
385,2023-07-18,1146620.0,,,
386,2023-07-19,1117735.0,,,
387,2023-07-20,1162769.0,,,
388,2023-07-21,2234790.0,,,
389,2023-07-24,1190723.0,,,
390,2023-07-25,1271965.0,,,
